,date,pm25,pm10,o3,no2,so2,co,AQI_PM25,AQI_PM10,AQI
1,12/28/2018,150,78,8,19,1,7,323.255814,78,323.255814
2,12/29/2018,159,71,11,16,4,7,330.1627907,71,330.1627907
3,2/14/2019,127,59,64,10,2,15,305.6046512,59,305.6046512
4,2/15/2019,97,54,42,3,3,11,221.4827586,54,221.4827586
5,2/18/2019,94,71,19,18,3,15,211.2413793,71,211.2413793
6,2/19/2019,129,59,15,16,2,15,307.1395349,59,307.1395349
7,2/20/2019,91,70,20,19,3,16,201,70,201
8,2/21/2019,105,74,16,22,3,13,248.7931034,74,248.7931034
9,2/22/2019,110,72,21,29,3,14,265.862069,72,265.862069
10,2/23/2019,118,68,21,23,2,15,293.1724138,68,293.1724138
11,2/24/2019,115,60,21,24,2,14,282.9310345,60,282.9310345
12,2/25/2019,89,67,43,14,2,10,196.5862069,67,196.5862069
13,2/26/2019,119,71,38,13,2,13,296.5862069,71,296.5862069
14,2/27/2019,112,73,34,11,2,10,272.6896552,73,272.6896552
15,2/28/2019,105,86,49,22,2,15,248.7931034,86,248.7931034
16,3/1/2019,145,68,22,14,3,9,319.4186047,68,319.4186047
17,3/2/2019,112,64,62,15,2,11,272.6896552,64,272.6896552
18,3/3/2019,102,69,82,13,2,11,238.5517241,69,238.5517241
19,3/4/2019,120,70,42,11,2,13,300,70,300
20,3/5/2019,122,70,39,8,2,6,301.7674419,70,301.7674419
21,3/6/2019,105,89,45,17,2,13,248.7931034,89,248.7931034
22,3/7/2019,125,82,94,20,3,12,304.0697674,82,304.0697674
23,3/8/2019,128,79,63,13,2,12,306.372093,79,306.372093
24,3/9/2019,135,66,35,13,2,13,311.744186,66,311.744186
25,3/10/2019,102,64,32,15,3,11,238.5517241,64,238.5517241
26,3/11/2019,94,74,31,16,8,12,211.2413793,74,211.2413793
27,3/12/2019,121,77,26,15,7,10,301,77,301
28,3/13/2019,120,73,26,4,4,6,300,73,300
29,3/14/2019,108,70,25,15,2,7,259.0344828,70,259.0344828
30,3/15/2019,105,78,28,27,2,8,248.7931034,78,248.7931034
31,3/16/2019,120,67,54,23,3,9,300,67,300
32,3/17/2019,122,69,50,22,2,8,301.7674419,69,301.7674419
33,3/18/2019,118,64,41,18,2,7,293.1724138,64,293.1724138
34,3/19/2019,106,65,44,16,5,6,252.2068966,65,252.2068966
35,3/20/2019,104,66,79,17,2,8,245.3793103,66,245.3793103
36,3/21/2019,110,67,44,20,3,10,265.862069,67,265.862069
37,3/22/2019,107,72,54,22,2,9,255.6206897,72,255.6206897
38,3/23/2019,115,68,49,15,2,8,282.9310345,68,282.9310345
39,3/24/2019,101,67,29,21,3,8,235.137931,67,235.137931
40,3/25/2019,114,69,35,23,4,10,279.5172414,69,279.5172414
41,3/26/2019,115,73,48,23,3,9,282.9310345,73,282.9310345
42,3/27/2019,117,79,44,28,5,8,289.7586207,79,289.7586207
43,3/28/2019,127,80,64,21,2,8,305.6046512,80,305.6046512
44,3/29/2019,129,77,46,23,4,10,307.1395349,77,307.1395349
45,3/30/2019,120,73,48,18,3,7,300,73,300
46,3/31/2019,123,74,37,19,2,11,302.5348837,74,302.5348837
47,4/1/2019,122,80,39,22,4,9,301.7674419,80,301.7674419
48,4/2/2019,122,77,36,24,2,9,301.7674419,77,301.7674419
49,4/3/2019,124,69,29,19,5,8,303.3023256,69,303.3023256
50,4/4/2019,94,66,27,18,2,16,211.2413793,66,211.2413793
51,4/5/2019,102,69,57,18,1,4,238.5517241,69,238.5517241
52,4/6/2019,115,67,66,16,2,11,282.9310345,67,282.9310345
53,4/7/2019,111,63,40,15,5,8,269.2758621,63,269.2758621
54,4/8/2019,98,62,48,13,3,5,224.8965517,62,224.8965517
55,4/9/2019,107,70,40,22,2,12,255.6206897,70,255.6206897
56,4/10/2019,119,75,29,23,2,10,296.5862069,75,296.5862069
57,4/11/2019,126,69,52,21,1,8,304.8372093,69,304.8372093
58,4/12/2019,111,68,33,19,3,7,269.2758621,68,269.2758621
59,4/13/2019,112,63,41,14,3,6,272.6896552,63,272.6896552
60,4/14/2019,100,71,41,18,3,7,231.7241379,71,231.7241379
61,4/15/2019,103,67,66,15,3,7,241.9655172,67,241.9655172
62,4/16/2019,101,60,34,10,5,6,235.137931,60,235.137931
63,4/17/2019,100,51,43,14,1,6,231.7241379,51,231.7241379
64,4/18/2019,89,47,44,13,2,7,196.5862069,47,196.5862069
65,4/19/2019,86,52,44,11,2,7,186.3448276,52,186.3448276
66,4/20/2019,88,42,43,15,2,8,193.1724138,42,193.1724138
67,4/23/2019,90,61,29,21,2,8,200,61,200
68,4/24/2019,103,75,35,24,3,9,241.9655172,75,241.9655172
69,4/25/2019,129,78,37,23,2,9,307.1395349,78,307.1395349
70,4/26/2019,137,83,27,20,2,9,313.2790698,83,313.2790698
71,4/27/2019,145,83,10,38,4,20,319.4186047,83,319.4186047
72,5/1/2019,80,66,35,4,2,4,165.862069,66,165.862069
73,5/2/2019,99,64,41,3,2,4,228.3103448,64,228.3103448
74,5/3/2019,96,73,45,5,1,5,218.0689655,73,218.0689655
75,5/4/2019,108,68,49,9,2,5,259.0344828,68,259.0344828
76,5/5/2019,104,66,36,10,1,5,245.3793103,66,245.3793103
77,5/6/2019,111,52,23,6,2,5,269.2758621,52,269.2758621
78,5/8/2019,46,52,25,9,4,18,76.34482759,52,76.34482759
79,5/10/2019,87,57,29,9,1,6,189.7586207,57,189.7586207
80,5/11/2019,95,56,38,10,2,7,214.6551724,56,214.6551724
81,5/12/2019,98,50,28,7,1,6,224.8965517,50,224.8965517
82,5/13/2019,87,51,29,6,2,5,189.7586207,51,189.7586207
83,5/14/2019,84,56,17,8,1,6,179.5172414,56,179.5172414
84,5/15/2019,92,55,35,11,1,8,204.4137931,55,204.4137931
85,5/16/2019,99,59,23,13,1,8,228.3103448,59,228.3103448
86,5/17/2019,105,68,20,10,2,11,248.7931034,68,248.7931034
87,5/21/2019,128,59,38,7,1,7,306.372093,59,306.372093
88,5/22/2019,112,61,17,9,1,8,272.6896552,61,272.6896552
89,5/23/2019,120,53,26,5,2,5,300,53,300
90,5/25/2019,72,30,21,3,1,5,138.5517241,30,138.5517241
91,5/26/2019,59,31,20,5,1,7,98.31034483,31,98.31034483
92,5/27/2019,59,61,22,7,1,6,98.31034483,61,98.31034483
93,5/28/2019,104,36,32,5,3,6,245.3793103,36,245.3793103
94,5/29/2019,63,55,25,4,1,4,107.8275862,55,107.8275862
95,6/1/2019,73,50,15,3,1,4,141.9655172,50,141.9655172
96,6/2/2019,82,30,18,4,1,4,172.6896552,30,172.6896552
97,6/3/2019,60,46,20,2,2,2,100,46,100
98,6/4/2019,75,45,18,2,1,3,148.7931034,45,148.7931034
99,6/5/2019,76,23,16,4,2,7,152.2068966,23,152.2068966
100,6/6/2019,66,17,17,5,4,7,118.0689655,17,118.0689655
101,6/7/2019,80,40,26,5,2,6,165.862069,40,165.862069
102,6/13/2019,34,33,15,1,2,2,56.06896552,33,56.06896552
103,6/16/2019,55,45,8,1,1,2,91.55172414,45,91.55172414
104,6/23/2019,29,30,16,1,1,4,48.33333333,30,48.33333333
105,6/24/2019,47,50,14,1,2,3,78.03448276,50,78.03448276
106,6/25/2019,70,45,13,1,1,3,131.7241379,45,131.7241379
107,7/3/2019,41,35,13,2,1,8,67.89655172,35,67.89655172
108,7/4/2019,37,36,12,5,1,7,61.13793103,36,61.13793103
109,7/5/2019,43,29,12,4,1,13,71.27586207,29,71.27586207
110,7/6/2019,42,35,14,2,1,13,69.5862069,35,69.5862069
111,7/7/2019,48,37,10,3,4,19,79.72413793,37,79.72413793
112,7/8/2019,45,26,12,2,1,15,74.65517241,26,74.65517241
113,7/9/2019,38,21,14,2,1,12,62.82758621,21,62.82758621
114,7/10/2019,39,22,15,3,1,12,64.51724138,22,64.51724138
115,7/11/2019,48,35,16,5,1,12,79.72413793,35,79.72413793
116,7/12/2019,53,35,17,4,1,12,88.17241379,35,88.17241379
117,7/13/2019,49,27,18,3,1,12,81.4137931,27,81.4137931
118,7/14/2019,50,26,17,4,1,12,83.10344828,26,83.10344828
119,7/15/2019,44,32,17,4,1,14,72.96551724,32,72.96551724
120,7/16/2019,60,32,16,4,1,11,100,32,100
121,7/17/2019,58,37,13,5,1,10,96.62068966,37,96.62068966
122,7/18/2019,79,22,15,4,2,3,162.4482759,22,162.4482759
123,7/19/2019,44,17,13,3,1,4,72.96551724,17,72.96551724
124,7/20/2019,31,16,14,3,1,3,51,16,51
125,7/21/2019,31,18,16,3,1,5,51,18,51
126,7/22/2019,36,21,14,4,1,4,59.44827586,21,59.44827586
127,7/23/2019,34,28,17,4,1,5,56.06896552,28,56.06896552
128,7/24/2019,44,21,16,5,1,5,72.96551724,21,72.96551724
129,7/25/2019,31,26,13,4,2,5,51,26,51
130,7/26/2019,40,33,15,4,1,5,66.20689655,33,66.20689655
131,7/27/2019,45,35,17,4,1,5,74.65517241,35,74.65517241
132,7/28/2019,46,37,15,3,1,4,76.34482759,37,76.34482759
133,7/29/2019,55,31,14,4,1,5,91.55172414,31,91.55172414
134,7/30/2019,42,32,15,4,1,4,69.5862069,32,69.5862069
135,7/31/2019,44,30,14,3,1,4,72.96551724,30,72.96551724
136,8/1/2019,38,32,13,3,1,3,62.82758621,32,62.82758621
137,8/2/2019,42,28,15,3,1,4,69.5862069,28,69.5862069
138,8/3/2019,35,29,13,2,1,5,57.75862069,29,57.75862069
139,8/4/2019,37,17,12,3,1,3,61.13793103,17,61.13793103
140,8/5/2019,27,13,11,3,1,4,45,13,45
141,8/6/2019,18,14,10,3,1,4,30,14,30
142,8/7/2019,25,16,10,3,1,4,41.66666667,16,41.66666667
143,8/8/2019,28,14,10,4,1,4,46.66666667,14,46.66666667
144,8/9/2019,21,15,12,3,1,3,35,15,35
145,8/10/2019,24,21,12,2,1,1,40,21,40
146,8/11/2019,29,26,12,4,4,5,48.33333333,26,48.33333333
147,8/12/2019,40,21,13,4,3,7,66.20689655,21,66.20689655
148,8/13/2019,35,23,12,5,3,4,57.75862069,23,57.75862069
149,8/15/2019,35,20,9,5,2,3,57.75862069,20,57.75862069
150,8/16/2019,42,27,7,7,1,4,69.5862069,27,69.5862069
151,8/17/2019,48,29,7,9,1,4,79.72413793,29,79.72413793
152,8/18/2019,56,23,7,8,1,8,93.24137931,23,93.24137931
153,8/19/2019,46,22,5,6,2,16,76.34482759,22,76.34482759
154,8/20/2019,36,24,8,4,5,11,59.44827586,24,59.44827586
155,8/21/2019,42,29,8,3,4,4,69.5862069,29,69.5862069
156,8/22/2019,47,23,8,3,4,3,78.03448276,23,78.03448276
157,8/23/2019,40,21,8,2,4,3,66.20689655,21,66.20689655
158,8/24/2019,40,24,8,2,4,3,66.20689655,24,66.20689655
159,8/25/2019,43,27,9,6,2,8,71.27586207,27,71.27586207
160,8/26/2019,47,20,12,7,6,3,78.03448276,20,78.03448276
161,8/27/2019,24,27,12,12,1,2,40,27,40
162,8/28/2019,42,27,13,10,4,7,69.5862069,27,69.5862069
163,9/2/2019,30,15,9,4,3,6,50,15,50
164,9/3/2019,32,23,10,4,3,5,52.68965517,23,52.68965517
165,9/4/2019,41,19,10,3,3,5,67.89655172,19,67.89655172
166,9/5/2019,35,21,10,3,3,4,57.75862069,21,57.75862069
167,9/6/2019,35,12,8,1,3,7,57.75862069,12,57.75862069
168,9/7/2019,42,20,8,1,3,13,69.5862069,20,69.5862069
169,9/8/2019,37,22,8,1,3,8,61.13793103,22,61.13793103
170,9/9/2019,38,31,14,3,3,4,62.82758621,31,62.82758621
171,9/10/2019,50,32,13,4,3,3,83.10344828,32,83.10344828
172,9/11/2019,47,31,11,4,3,3,78.03448276,31,78.03448276
173,9/12/2019,43,28,12,5,3,4,71.27586207,28,71.27586207
174,9/13/2019,47,32,12,5,4,3,78.03448276,32,78.03448276
175,9/14/2019,48,35,15,4,3,5,79.72413793,35,79.72413793
176,9/15/2019,49,22,13,4,3,3,81.4137931,22,81.4137931
177,9/16/2019,40,18,9,3,4,2,66.20689655,18,66.20689655
178,9/18/2019,163,34,13,4,3,3,333.2325581,34,333.2325581
179,9/19/2019,66,31,17,5,3,3,118.0689655,31,118.0689655
180,9/20/2019,44,39,21,8,3,4,72.96551724,39,72.96551724
181,9/21/2019,57,29,22,7,3,3,94.93103448,29,94.93103448
182,9/22/2019,41,30,24,9,6,3,67.89655172,30,67.89655172
183,9/23/2019,47,25,33,8,8,5,78.03448276,25,78.03448276
184,9/24/2019,50,37,24,10,4,5,83.10344828,37,83.10344828
185,9/25/2019,46,27,18,8,3,5,76.34482759,27,76.34482759
186,9/26/2019,40,49,28,12,3,6,66.20689655,49,66.20689655
187,9/27/2019,93,48,32,11,2,5,207.8275862,48,207.8275862
188,9/28/2019,82,59,22,11,2,6,172.6896552,59,172.6896552
189,9/29/2019,115,43,20,11,2,5,282.9310345,43,282.9310345
190,9/30/2019,69,42,25,9,2,6,128.3103448,42,128.3103448
191,10/1/2019,82,19,28,8,2,5,172.6896552,19,172.6896552
192,10/2/2019,44,39,40,13,3,6,72.96551724,39,72.96551724
193,10/3/2019,76,38,40,10,2,7,152.2068966,38,152.2068966
194,10/4/2019,81,43,26,17,2,5,169.2758621,43,169.2758621
195,10/5/2019,80,47,2,17,2,4,165.862069,47,165.862069
196,10/6/2019,89,47,24,22,5,5,196.5862069,47,196.5862069
197,10/7/2019,92,25,35,11,2,6,204.4137931,25,204.4137931
198,10/8/2019,58,41,45,19,2,7,96.62068966,41,96.62068966
199,10/9/2019,88,54,30,18,2,6,193.1724138,54,193.1724138
200,10/10/2019,103,61,30,16,2,5,241.9655172,61,241.9655172
201,10/11/2019,124,60,19,16,2,8,303.3023256,60,303.3023256
202,10/12/2019,111,38,10,13,2,7,269.2758621,38,269.2758621
203,10/13/2019,56,31,11,12,2,8,93.24137931,31,93.24137931
204,10/14/2019,55,37,13,14,2,3,91.55172414,37,91.55172414
205,10/15/2019,65,35,13,14,2,5,114.6551724,35,114.6551724
206,10/16/2019,60,39,8,15,2,8,100,39,100
207,10/17/2019,59,46,10,16,2,7,98.31034483,46,98.31034483
208,10/18/2019,66,39,10,15,2,4,118.0689655,39,118.0689655
209,10/19/2019,61,39,13,14,2,3,101,39,101
210,10/20/2019,61,33,12,16,2,5,101,33,101
211,10/21/2019,57,20,13,10,2,4,94.93103448,20,94.93103448
212,10/22/2019,38,15,11,7,2,4,62.82758621,15,62.82758621
213,10/23/2019,25,12,13,6,2,6,41.66666667,12,41.66666667
214,10/24/2019,18,13,10,7,3,8,30,13,30
215,10/25/2019,20,23,11,8,2,6,33.33333333,23,33.33333333
216,10/26/2019,44,39,18,7,2,6,72.96551724,39,72.96551724
217,10/27/2019,82,58,9,13,3,10,172.6896552,58,172.6896552
218,10/28/2019,107,49,10,12,2,7,255.6206897,49,255.6206897
219,10/29/2019,86,35,11,14,2,11,186.3448276,35,186.3448276
220,10/30/2019,64,45,9,13,2,7,111.2413793,45,111.2413793
221,10/31/2019,70,47,24,13,2,8,131.7241379,47,131.7241379
222,11/1/2019,78,61,11,15,2,11,159.0344828,61,159.0344828
223,11/2/2019,90,62,15,14,2,4,200,62,200
224,11/3/2019,110,79,16,17,3,8,265.862069,79,265.862069
225,11/4/2019,141,92,19,14,3,7,316.3488372,92,316.3488372
226,11/5/2019,152,83,41,12,3,7,324.7906977,83,324.7906977
227,11/6/2019,148,83,42,11,3,5,321.7209302,83,321.7209302
228,11/7/2019,151,72,23,8,5,9,324.0232558,72,324.0232558
229,11/8/2019,128,66,32,9,3,5,306.372093,66,306.372093
230,11/9/2019,120,82,33,9,4,6,300,82,300
231,11/10/2019,144,89,30,12,3,7,318.6511628,89,318.6511628
232,11/11/2019,158,59,19,11,2,5,329.3953488,59,329.3953488
233,11/12/2019,97,59,20,11,2,5,221.4827586,59,221.4827586
234,11/13/2019,103,53,18,10,4,6,241.9655172,53,241.9655172
235,11/14/2019,79,46,8,9,3,10,162.4482759,46,162.4482759
236,11/15/2019,82,54,11,10,1,7,172.6896552,54,172.6896552
237,11/16/2019,78,54,22,8,3,3,159.0344828,54,159.0344828
238,11/17/2019,97,57,14,10,5,6,221.4827586,57,221.4827586
239,11/18/2019,89,44,17,8,6,3,196.5862069,44,196.5862069
240,11/19/2019,57,43,10,9,4,6,94.93103448,43,94.93103448
241,11/20/2019,61,70,14,11,6,9,101,70,101
242,11/21/2019,121,71,17,10,4,6,301,71,301
243,11/22/2019,121,62,18,11,5,6,301,62,301
244,11/23/2019,102,67,16,12,6,9,238.5517241,67,238.5517241
245,11/24/2019,114,70,15,12,4,8,279.5172414,70,279.5172414
246,11/25/2019,123,65,17,11,3,7,302.5348837,65,302.5348837
247,11/26/2019,116,63,16,11,4,8,286.3448276,63,286.3448276
248,11/27/2019,111,53,11,10,4,6,269.2758621,53,269.2758621
249,11/28/2019,77,44,8,7,4,7,155.6206897,44,155.6206897
250,11/29/2019,65,45,5,11,2,11,114.6551724,45,114.6551724
251,11/30/2019,65,29,4,10,2,9,114.6551724,29,114.6551724
252,12/1/2019,54,27,8,8,2,8,89.86206897,27,89.86206897
253,12/2/2019,56,61,7,12,5,12,93.24137931,61,93.24137931
254,12/3/2019,98,64,14,10,2,8,224.8965517,64,224.8965517
255,12/4/2019,113,73,23,11,6,7,276.1034483,73,276.1034483
256,12/5/2019,149,82,19,13,7,8,322.4883721,82,322.4883721
257,12/6/2019,157,67,18,12,7,8,328.627907,67,328.627907
258,12/7/2019,119,57,11,12,5,7,296.5862069,57,296.5862069
259,12/8/2019,93,54,14,20,7,12,207.8275862,54,207.8275862
260,12/9/2019,78,50,14,12,3,9,159.0344828,50,159.0344828
261,12/10/2019,72,59,18,14,2,7,138.5517241,59,138.5517241
262,12/11/2019,93,64,25,15,4,8,207.8275862,64,207.8275862
263,12/12/2019,104,64,20,14,4,7,245.3793103,64,245.3793103
264,12/13/2019,109,51,11,10,4,6,262.4482759,51,262.4482759
265,12/14/2019,77,58,17,13,4,5,155.6206897,58,155.6206897
266,12/15/2019,99,48,14,11,5,5,228.3103448,48,228.3103448
267,12/16/2019,75,52,14,12,2,8,148.7931034,52,148.7931034
268,12/17/2019,88,67,19,13,3,9,193.1724138,67,193.1724138
269,12/18/2019,124,64,13,13,6,9,303.3023256,64,303.3023256
270,12/19/2019,111,71,15,14,4,7,269.2758621,71,269.2758621
271,12/20/2019,134,76,17,13,5,6,310.9767442,76,310.9767442
272,12/21/2019,142,70,23,11,3,4,317.1162791,70,317.1162791
273,12/22/2019,139,72,22,13,4,6,314.8139535,72,314.8139535
274,12/23/2019,140,65,17,12,7,7,315.5813953,65,315.5813953
275,12/24/2019,105,62,14,12,4,8,248.7931034,62,248.7931034
276,12/25/2019,107,69,31,10,2,3,255.6206897,69,255.6206897
277,12/26/2019,125,69,26,12,4,5,304.0697674,69,304.0697674
278,12/27/2019,121,64,19,12,8,8,301,64,301
279,12/28/2019,111,62,25,11,5,5,269.2758621,62,269.2758621
280,1/1/2020,99,49,15,10,5,7,228.3103448,49,228.3103448
281,1/2/2020,72,56,28,11,3,4,138.5517241,56,138.5517241
282,1/3/2020,87,79,32,13,2,9,189.7586207,79,189.7586207
283,1/4/2020,134,74,32,10,3,5,310.9767442,74,310.9767442
284,1/5/2020,140,53,10,12,5,8,315.5813953,53,315.5813953
285,1/6/2020,81,53,13,13,6,8,169.2758621,53,169.2758621
286,1/7/2020,80,64,39,15,5,7,165.862069,64,165.862069
287,1/8/2020,109,68,35,16,2,6,262.4482759,68,262.4482759
288,1/9/2020,127,67,18,18,7,6,305.6046512,67,305.6046512
289,1/10/2020,120,56,17,13,5,6,300,56,300
290,1/11/2020,99,63,19,14,4,7,228.3103448,63,228.3103448
291,1/12/2020,122,75,30,13,2,6,301.7674419,75,301.7674419
292,1/13/2020,142,89,30,18,5,4,317.1162791,89,317.1162791
293,1/14/2020,158,67,27,13,6,5,329.3953488,67,329.3953488
294,1/15/2020,130,68,52,15,5,8,307.9069767,68,307.9069767
295,1/16/2020,126,65,34,15,7,8,304.8372093,65,304.8372093
296,1/18/2020,87,46,21,9,1,4,189.7586207,46,189.7586207
297,1/19/2020,72,60,21,14,1,5,138.5517241,60,138.5517241
298,1/20/2020,102,60,17,15,4,6,238.5517241,60,238.5517241
299,1/21/2020,102,58,14,13,3,9,238.5517241,58,238.5517241
300,1/22/2020,97,60,17,12,4,6,221.4827586,60,221.4827586
301,1/23/2020,101,66,15,18,4,6,235.137931,66,235.137931
302,1/24/2020,113,77,17,21,6,7,276.1034483,77,276.1034483
303,1/25/2020,117,68,26,19,6,7,289.7586207,68,289.7586207
304,1/26/2020,119,67,32,18,4,7,296.5862069,67,296.5862069
305,1/27/2020,118,70,40,11,6,6,293.1724138,70,293.1724138
306,1/28/2020,128,68,59,16,5,5,306.372093,68,306.372093
307,1/29/2020,111,71,49,21,6,7,269.2758621,71,269.2758621
308,1/30/2020,114,75,46,16,11,5,279.5172414,75,279.5172414
309,1/31/2020,126,74,24,13,13,6,304.8372093,74,304.8372093
310,2/1/2020,130,57,21,10,3,2,307.9069767,57,307.9069767
311,2/2/2020,90,58,18,15,4,4,200,58,200
312,2/3/2020,85,56,17,13,5,4,182.9310345,56,182.9310345
313,2/4/2020,72,57,19,9,4,24,138.5517241,57,138.5517241
314,2/5/2020,81,66,38,11,6,12,169.2758621,66,169.2758621
315,2/6/2020,104,70,32,10,9,8,245.3793103,70,245.3793103
316,2/7/2020,124,65,22,10,4,2,303.3023256,65,303.3023256
317,2/8/2020,110,60,16,9,16,2,265.862069,60,265.862069
318,2/9/2020,100,58,16,12,5,5,231.7241379,58,231.7241379
319,2/10/2020,88,57,17,15,4,8,193.1724138,57,193.1724138
320,2/11/2020,86,57,17,16,5,7,186.3448276,57,186.3448276
321,2/12/2020,85,60,22,17,2,5,182.9310345,60,182.9310345
322,2/13/2020,91,71,39,16,6,7,201,71,201
323,2/15/2020,65,68,28,28,9,14,114.6551724,68,114.6551724
324,2/16/2020,97,68,28,21,6,6,221.4827586,68,221.4827586
325,2/17/2020,104,70,24,26,4,8,245.3793103,70,245.3793103
326,2/18/2020,109,69,32,13,1,8,262.4482759,69,262.4482759
327,2/19/2020,121,72,23,1,1,6,301,72,301
328,2/26/2020,84,68,32,4,2,6,179.5172414,68,179.5172414
329,2/27/2020,101,67,23,4,3,5,235.137931,67,235.137931
330,2/28/2020,104,66,25,4,3,4,245.3793103,66,245.3793103
331,2/29/2020,99,62,28,3,4,3,228.3103448,62,228.3103448
332,3/1/2020,94,77,54,4,4,8,211.2413793,77,211.2413793
333,3/2/2020,123,101,22,10,4,16,302.5348837,101,302.5348837
334,3/3/2020,154,67,32,2,4,5,326.3255814,67,326.3255814
335,3/4/2020,114,76,35,4,2,6,279.5172414,76,279.5172414
336,3/5/2020,129,57,34,2,3,5,307.1395349,57,307.1395349
337,3/6/2020,85,66,25,3,3,6,182.9310345,66,182.9310345
338,3/7/2020,106,66,36,3,4,3,252.2068966,66,252.2068966
339,3/8/2020,97,65,42,3,4,4,221.4827586,65,221.4827586
340,3/9/2020,100,71,44,3,4,6,231.7241379,71,231.7241379
341,3/10/2020,109,65,35,3,4,6,262.4482759,65,262.4482759
